il_x,il_y,ol_x,ol_y,cl_x,cl_y
-3.836668,5.078729,-5.724850,-1.515587,-6.678505,4.841422
-3.835511,5.058149,-6.458969,-1.019240,-6.677927,4.831132
-3.834356,5.037562,-7.134074,-0.444256,-6.677349,4.820838
-3.833200,5.016981,-7.741941,0.201473,-6.676771,4.810548
-3.832043,4.996395,-8.274344,0.910053,-6.676193,4.800255
-3.830888,4.975814,-8.723060,1.673594,-6.675615,4.789964
-3.829731,4.955227,-9.079863,2.484202,-6.675037,4.779671
-3.828575,4.934646,-9.336527,3.333988,-6.671804,4.730390
-3.828575,4.934646,-9.484831,4.215056,-6.671804,4.730390
-3.828575,4.934646,-9.493958,4.292669,-6.671804,4.730390
-3.828575,4.934646,-9.501956,4.370395,-6.671804,4.730390
-3.828575,4.934646,-9.508944,4.448223,-6.671804,4.730390
-3.828575,4.934646,-9.515034,4.526134,-6.671804,4.730390
-3.828575,4.934646,-9.520343,4.604115,-6.671804,4.730390
