X,Y,Vx,VY,Xref,Yref
16.1487,-1.1562,0.0000,0.0000,-8.0705,4.3898
16.1487,-1.1563,0.0000,-0.0019,-8.0111,4.0411
16.1487,-1.1564,0.0000,-0.0019,-7.9436,3.6938
16.1487,-1.1565,0.0000,-0.0019,-7.8434,3.3549
16.1487,-1.1566,0.0000,-0.0019,-7.7228,3.0224
16.1487,-1.1567,0.0000,-0.0020,-7.5825,2.6978
16.1487,-1.1568,0.0000,-0.0020,-7.4143,2.3866
16.1487,-1.1569,0.0000,-0.0020,-7.2344,2.0821
16.1487,-1.1570,0.0000,-0.0020,-7.0253,1.7968
16.1487,-1.1572,0.0000,-0.0020,-6.8084,1.5174
16.1487,-1.1573,0.0000,-0.0020,-6.5651,1.2606
16.1487,-1.1574,0.0000,-0.0020,-6.3110,1.0145
16.1487,-1.1575,0.0000,-0.0020,-6.0392,0.7884
16.1487,-1.1576,0.0000,-0.0020,-5.7610,0.5699
16.1487,-1.1577,0.0000,-0.0018,-5.4752,0.3617
16.1487,-1.1578,0.0000,-0.0018,-5.1780,0.1698
16.1487,-1.1579,0.0000,-0.0019,-4.8775,-0.0169
16.1487,-1.1580,0.0000,-0.0019,-4.5648,-0.1821
16.1487,-1.1580,0.0000,-0.0019,-4.2501,-0.3438
16.1487,-1.1581,0.0000,-0.0019,-3.9256,-0.4844
16.1487,-1.1582,0.0000,-0.0019,-3.5981,-0.6182
16.1487,-1.1583,0.0000,-0.0019,-3.2639,-0.7340
16.1487,-1.1584,0.0000,-0.0019,-2.9254,-0.8367
16.1487,-1.1585,0.0000,-0.0019,-2.5835,-0.9269
16.1487,-1.1586,0.0000,-0.0019,-2.2367,-0.9969
16.1487,-1.1587,0.0000,-0.0019,-1.8887,-1.0605
16.1487,-1.1588,0.0000,-0.0019,-1.5369,-1.0967
16.1487,-1.1589,0.0000,-0.0019,-1.1846,-1.1290
16.1487,-1.1590,0.0000,-0.0019,-0.8311,-1.1397
16.1487,-1.1591,0.0000,-0.0019,-0.4774,-1.1417
16.1487,-1.1592,0.0000,-0.0020,-0.1236,-1.1436
16.1486,-1.1593,0.0000,-0.0020,0.2301,-1.1456
16.1486,-1.1594,0.0000,-0.0020,0.5839,-1.1476
16.1486,-1.1595,0.0000,-0.0020,0.9376,-1.1492
16.1486,-1.1596,0.0000,-0.0020,1.2913,-1.1505
16.1486,-1.1597,0.0000,-0.0020,1.6451,-1.1519
16.1486,-1.1599,0.0000,-0.0020,1.9988,-1.1533
16.1486,-1.1600,0.0000,-0.0020,2.3526,-1.1547
16.1486,-1.1601,0.0000,-0.0020,2.7063,-1.1557
16.1486,-1.1602,0.0000,-0.0020,3.0601,-1.1566
16.1486,-1.1603,0.0000,-0.0020,3.4138,-1.1575
16.1486,-1.1604,0.0000,-0.0020,3.7676,-1.1583
16.1486,-1.1605,0.0000,-0.0020,4.1213,-1.1592
16.1486,-1.1606,0.0000,-0.0020,4.4750,-1.1598
16.1486,-1.1608,0.0000,-0.0021,4.8288,-1.1602
16.1486,-1.1609,0.0000,-0.0021,5.1825,-1.1607
16.1486,-1.1610,0.0000,-0.0021,5.5363,-1.1611
16.1486,-1.1611,0.0000,-0.0021,5.8900,-1.1616
16.1486,-1.1612,0.0000,-0.0021,6.2438,-1.1618
16.1486,-1.1613,0.0000,-0.0021,6.5975,-1.1619
16.1486,-1.1614,0.0000,-0.0021,6.9513,-1.1620
16.1486,-1.1616,0.0000,-0.0023,7.3050,-1.1621
16.1486,-1.1617,0.0000,-0.0024,7.6588,-1.1622
16.1486,-1.1618,0.0000,-0.0024,8.0125,-1.1622
16.1486,-1.1619,0.0000,-0.0024,8.3663,-1.1621
16.1486,-1.1620,0.0000,-0.0024,8.7200,-1.1620
16.1486,-1.1621,0.0000,-0.0024,9.0737,-1.1618
16.1486,-1.1623,0.0000,-0.0024,9.4275,-1.1617
16.1486,-1.1624,0.0000,-0.0024,9.7812,-1.1614
16.1486,-1.1625,0.0000,-0.0024,10.1350,-1.1612
16.1486,-1.1626,0.0000,-0.0024,10.4887,-1.1609
16.1486,-1.1628,0.0000,-0.0024,10.8425,-1.1606
16.1486,-1.1629,0.0000,-0.0024,11.1962,-1.1603
16.1486,-1.1630,0.0000,-0.0024,11.5500,-1.1600
16.1486,-1.1631,0.0000,-0.0025,11.9037,-1.1597
16.1486,-1.1633,0.0000,-0.0025,12.2575,-1.1593
16.1485,-1.1634,0.0000,-0.0026,12.6112,-1.1590
16.1485,-1.1635,0.0000,-0.0026,12.9650,-1.1586
16.1485,-1.1637,0.0000,-0.0026,13.3187,-1.1583
16.1485,-1.1639,0.0000,-0.0026,13.6724,-1.1580
16.1485,-1.1640,0.0000,-0.0026,14.0262,-1.1577
16.1485,-1.1641,0.0000,-0.0026,14.3799,-1.1574
16.1485,-1.1643,0.0000,-0.0026,14.7337,-1.1570
16.1485,-1.1644,0.0000,-0.0026,15.0874,-1.1568
16.1485,-1.1645,0.0000,-0.0026,15.4412,-1.1566
16.1485,-1.1646,0.0000,-0.0026,15.7949,-1.1564
16.1485,-1.1648,0.0000,-0.0018,16.1487,-1.1562
16.1485,-1.1649,0.0000,-0.0019,16.5024,-1.1560
16.1485,-1.1650,0.0000,-0.0019,16.8562,-1.1559
16.1485,-1.1651,0.0000,-0.0019,17.2099,-1.1559
16.1485,-1.1652,0.0000,-0.0019,17.5637,-1.1559
16.1485,-1.1653,0.0000,-0.0019,17.9174,-1.1559
16.1485,-1.1653,0.0000,-0.0019,18.2712,-1.1559
16.1485,-1.1655,0.0000,-0.0019,18.6249,-1.1561
16.1485,-1.1655,0.0000,-0.0019,18.9786,-1.1565
16.1485,-1.1656,0.0000,-0.0019,19.3324,-1.1568
16.1485,-1.1657,0.0000,-0.0019,19.6861,-1.1571
16.1484,-1.1658,0.0000,-0.0019,20.0399,-1.1573
16.1484,-1.1659,0.0000,-0.0019,20.3936,-1.1619
16.1484,-1.1660,0.0000,-0.0019,20.7473,-1.1699
16.1484,-1.1661,0.0000,-0.0019,21.1006,-1.1561
16.1484,-1.1662,0.0000,-0.0019,21.4540,-1.1382
16.1484,-1.1663,0.0000,-0.0019,21.8051,-1.0952
16.1484,-1.1664,0.0000,-0.0023,22.1558,-1.0494
16.1484,-1.1666,0.0000,-0.0024,22.5028,-0.9807
16.1484,-1.1667,0.0000,-0.0024,22.8484,-0.9058
16.1484,-1.1668,0.0000,-0.0024,23.1899,-0.8135
16.1484,-1.1669,0.0000,-0.0024,23.5279,-0.7094
16.1484,-1.1670,0.0000,-0.0024,23.8622,-0.5937
16.1484,-1.1672,0.0000,-0.0024,24.1898,-0.4606
16.1484,-1.1673,0.0000,-0.0024,24.5117,-0.3139
16.1484,-1.1674,0.0000,-0.0024,24.8186,-0.1381
16.1484,-1.1676,0.0000,-0.0024,25.1178,0.0505
16.1483,-1.1677,0.0000,-0.0024,25.3997,0.2642
16.1483,-1.1678,0.0000,-0.0024,25.6707,0.4914
16.1483,-1.1680,0.0000,-0.0025,25.9231,0.7394
16.1483,-1.1681,0.0000,-0.0025,26.1613,1.0007
16.1483,-1.1683,0.0000,-0.0025,26.3810,1.2780
16.1483,-1.1684,0.0000,-0.0025,26.5806,1.5698
16.1483,-1.1685,0.0000,-0.0025,26.7628,1.8730
16.1483,-1.1687,0.0000,-0.0025,26.9295,2.1850
16.1483,-1.1688,0.0000,-0.0025,27.0752,2.5073
16.1483,-1.1690,0.0000,-0.0025,27.2019,2.8376
16.1483,-1.1691,0.0000,-0.0023,27.3135,3.1733
16.1483,-1.1692,0.0000,-0.0024,27.4109,3.5133
16.1483,-1.1693,0.0000,-0.0024,27.4949,3.8568
16.1482,-1.1695,0.0000,-0.0024,27.5666,4.2032
16.1482,-1.1696,0.0000,-0.0024,27.6243,4.5522
16.1482,-1.1697,0.0000,-0.0024,27.6673,4.9033
16.1482,-1.1698,0.0000,-0.0024,27.6962,5.2559
16.1482,-1.1699,0.0000,-0.0024,27.7106,5.6093
16.1482,-1.1701,0.0000,-0.0024,27.7114,5.9630
16.1482,-1.1701,0.0000,-0.0024,27.6956,6.3164
16.1482,-1.1702,0.0000,-0.0024,27.6624,6.6686
16.1482,-1.1704,0.0000,-0.0024,27.6129,7.0188
16.1482,-1.1706,0.0000,-0.0024,27.5585,7.3683
