X,Y,Vx,VY,Xref,Yref
6.6099,22.5783,0.1374,0.1374,-8.0705,4.3898
6.6008,22.5759,0.1296,0.1296,-8.0111,4.0411
6.6008,22.5759,0.1296,0.1296,-7.9436,3.6938
6.5968,22.5749,0.0019,0.0016,-7.8434,3.3549
6.5967,22.5749,0.0019,0.0016,-7.7228,3.0224
6.5966,22.5748,0.0019,0.0016,-7.5825,2.6978
6.5965,22.5748,0.0019,0.0016,-7.4143,2.3866
6.5963,22.5748,0.0019,0.0016,-7.2344,2.0821
6.5962,22.5748,0.0019,0.0016,-7.0253,1.7968
6.5961,22.5748,0.0019,0.0016,-6.8084,1.5174
6.5960,22.5747,0.0019,0.0016,-6.5651,1.2606
6.5959,22.5747,0.0019,0.0016,-6.3110,1.0145
6.5957,22.5747,0.0019,0.0016,-6.0392,0.7884
6.5956,22.5747,0.0019,0.0016,-5.7610,0.5699
6.5955,22.5747,0.0019,0.0016,-5.4752,0.3617
6.5954,22.5746,0.0019,0.0016,-5.1780,0.1698
6.5952,22.5746,0.0019,0.0016,-4.8775,-0.0169
6.5951,22.5746,0.0019,0.0016,-4.5648,-0.1821
6.5950,22.5746,0.0019,0.0016,-4.2501,-0.3438
6.5949,22.5746,0.0019,0.0016,-3.9256,-0.4844
6.5947,22.5745,0.0019,0.0016,-3.5981,-0.6182
6.5946,22.5745,0.0019,0.0016,-3.2639,-0.7340
6.5945,22.5745,0.0019,0.0016,-2.9254,-0.8367
6.5944,22.5745,0.0019,0.0016,-2.5835,-0.9269
6.5943,22.5745,0.0019,0.0016,-2.2367,-0.9969
6.5941,22.5744,0.0019,0.0016,-1.8887,-1.0605
6.5940,22.5744,0.0019,0.0016,-1.5369,-1.0967
6.5939,22.5744,0.0019,0.0016,-1.1846,-1.1290
6.5938,22.5744,0.0019,0.0016,-0.8311,-1.1397
6.5936,22.5744,0.0019,0.0016,-0.4774,-1.1417
6.5935,22.5743,0.0019,0.0016,-0.1236,-1.1436
6.5934,22.5743,0.0019,0.0016,0.2301,-1.1456
6.5933,22.5743,0.0019,0.0016,0.5839,-1.1476
6.5932,22.5743,0.0019,0.0016,0.9376,-1.1492
6.5930,22.5743,0.0019,0.0016,1.2913,-1.1505
6.5929,22.5742,0.0019,0.0016,1.6451,-1.1519
6.5928,22.5742,0.0019,0.0016,1.9988,-1.1533
6.5927,22.5742,0.0019,0.0016,2.3526,-1.1547
6.5925,22.5742,0.0019,0.0016,2.7063,-1.1557
6.5924,22.5742,0.0019,0.0016,3.0601,-1.1566
6.5923,22.5741,0.0019,0.0016,3.4138,-1.1575
6.5922,22.5741,0.0019,0.0016,3.7676,-1.1583
6.5920,22.5741,0.0019,0.0016,4.1213,-1.1592
6.5919,22.5741,0.0019,0.0016,4.4750,-1.1598
6.5918,22.5740,0.0019,0.0016,4.8288,-1.1602
6.5917,22.5740,0.0019,0.0016,5.1825,-1.1607
6.5916,22.5740,0.0019,0.0016,5.5363,-1.1611
6.5914,22.5740,0.0019,0.0016,5.8900,-1.1616
6.5913,22.5740,0.0019,0.0016,6.2438,-1.1618
6.5912,22.5739,0.0019,0.0016,6.5975,-1.1619
6.5911,22.5739,0.0019,0.0016,6.9513,-1.1620
6.5909,22.5739,0.0019,0.0016,7.3050,-1.1621
6.5908,22.5739,0.0019,0.0016,7.6588,-1.1622
6.5907,22.5739,0.0019,0.0016,8.0125,-1.1622
6.5906,22.5738,0.0019,0.0016,8.3663,-1.1621
6.5905,22.5738,0.0019,0.0016,8.7200,-1.1620
6.5903,22.5738,0.0019,0.0016,9.0737,-1.1618
6.5902,22.5738,0.0019,0.0016,9.4275,-1.1617
6.5901,22.5737,0.0019,0.0016,9.7812,-1.1614
6.5900,22.5737,0.0019,0.0016,10.1350,-1.1612
6.5898,22.5737,0.0019,0.0016,10.4887,-1.1609
6.5897,22.5737,0.0019,0.0016,10.8425,-1.1606
6.5896,22.5737,0.0019,0.0016,11.1962,-1.1603
6.5895,22.5736,0.0019,0.0016,11.5500,-1.1600
6.5893,22.5736,0.0019,0.0016,11.9037,-1.1597
6.5892,22.5736,0.0019,0.0016,12.2575,-1.1593
6.5891,22.5736,0.0019,0.0016,12.6112,-1.1590
6.5890,22.5735,0.0019,0.0016,12.9650,-1.1586
6.5889,22.5735,0.0019,0.0016,13.3187,-1.1583
6.5887,22.5735,0.0019,0.0016,13.6724,-1.1580
6.5886,22.5735,0.0019,0.0016,14.0262,-1.1577
6.5885,22.5735,0.0019,0.0016,14.3799,-1.1574
6.5884,22.5734,0.0019,0.0016,14.7337,-1.1570
6.5882,22.5734,0.0019,0.0016,15.0874,-1.1568
6.5881,22.5734,0.0019,0.0016,15.4412,-1.1566
6.5880,22.5734,0.0019,0.0016,15.7949,-1.1564
6.5879,22.5733,0.0019,0.0016,16.1487,-1.1562
6.5878,22.5733,0.0019,0.0016,16.5024,-1.1560
6.5876,22.5733,0.0019,0.0016,16.8562,-1.1559
6.5875,22.5733,0.0019,0.0016,17.2099,-1.1559
6.5874,22.5733,0.0019,0.0016,17.5637,-1.1559
6.5873,22.5732,0.0019,0.0016,17.9174,-1.1559
6.5871,22.5732,0.0019,0.0016,18.2712,-1.1559
6.5870,22.5732,0.0019,0.0016,18.6249,-1.1561
6.5869,22.5732,0.0019,0.0016,18.9786,-1.1565
6.5868,22.5731,0.0019,0.0016,19.3324,-1.1568
6.5867,22.5731,0.0019,0.0016,19.6861,-1.1571
6.5865,22.5731,0.0019,0.0016,20.0399,-1.1573
6.5864,22.5731,0.0019,0.0016,20.3936,-1.1619
6.5863,22.5730,0.0019,0.0016,20.7473,-1.1699
6.5862,22.5730,0.0019,0.0016,21.1006,-1.1561
6.5860,22.5730,0.0019,0.0016,21.4540,-1.1382
6.5859,22.5730,0.0019,0.0016,21.8051,-1.0952
6.5858,22.5730,0.0019,0.0016,22.1558,-1.0494
6.5857,22.5729,0.0019,0.0016,22.5028,-0.9807
6.5856,22.5729,0.0019,0.0016,22.8484,-0.9058
6.5854,22.5729,0.0019,0.0016,23.1899,-0.8135
6.5853,22.5729,0.0019,0.0016,23.5279,-0.7094
6.5852,22.5728,0.0019,0.0016,23.8622,-0.5937
6.5851,22.5728,0.0019,0.0016,24.1898,-0.4606
6.5849,22.5728,0.0019,0.0016,24.5117,-0.3139
6.5848,22.5728,0.0019,0.0016,24.8186,-0.1381
6.5847,22.5727,0.0019,0.0016,25.1178,0.0505
6.5846,22.5727,0.0019,0.0016,25.3997,0.2642
6.5845,22.5727,0.0019,0.0016,25.6707,0.4914
6.5843,22.5727,0.0019,0.0016,25.9231,0.7394
6.5842,22.5726,0.0019,0.0016,26.1613,1.0007
6.5841,22.5726,0.0019,0.0016,26.3810,1.2780
6.5840,22.5726,0.0019,0.0016,26.5806,1.5698
6.5838,22.5726,0.0019,0.0016,26.7628,1.8730
6.5837,22.5725,0.0019,0.0016,26.9295,2.1850
6.5836,22.5725,0.0019,0.0016,27.0752,2.5073
6.5835,22.5725,0.0019,0.0016,27.2019,2.8376
6.5833,22.5725,0.0019,0.0016,27.3135,3.1733
6.5832,22.5724,0.0019,0.0016,27.4109,3.5133
6.5831,22.5724,0.0019,0.0016,27.4949,3.8568
6.5830,22.5724,0.0019,0.0016,27.5666,4.2032
6.5828,22.5724,0.0019,0.0016,27.6243,4.5522
6.5827,22.5723,0.0019,0.0016,27.6673,4.9033
6.5826,22.5723,0.0019,0.0016,27.6962,5.2559
6.5824,22.5723,0.0019,0.0016,27.7106,5.6093
