X,Y,Vx,VY,Xref,Yref
21.4193,14.5656,0.0000,0.0000,-8.0705,4.3898
21.4193,14.5656,0.0000,-0.0006,-8.0111,4.0411
21.4193,14.5656,0.0000,-0.0006,-7.9436,3.6938
21.4194,14.5657,0.0000,-0.0006,-7.8434,3.3549
21.4194,14.5657,0.0000,-0.0006,-7.7228,3.0224
21.4194,14.5657,0.0000,-0.0006,-7.5825,2.6978
21.4194,14.5657,0.0000,-0.0006,-7.4143,2.3866
21.4194,14.5657,0.0000,-0.0006,-7.2344,2.0821
21.4194,14.5658,0.0000,-0.0006,-7.0253,1.7968
21.4194,14.5658,0.0000,-0.0006,-6.8084,1.5174
21.4195,14.5658,0.0000,-0.0006,-6.5651,1.2606
21.4195,14.5658,0.0000,-0.0006,-6.3110,1.0145
21.4195,14.5659,0.0000,-0.0006,-6.0392,0.7884
21.4195,14.5659,0.0000,-0.0006,-5.7610,0.5699
21.4195,14.5659,0.0000,-0.0006,-5.4752,0.3617
21.4195,14.5659,0.0000,-0.0006,-5.1780,0.1698
21.4195,14.5660,0.0000,-0.0006,-4.8775,-0.0169
21.4196,14.5660,0.0000,-0.0006,-4.5648,-0.1821
21.4196,14.5660,0.0000,-0.0006,-4.2501,-0.3438
21.4196,14.5661,0.0000,-0.0006,-3.9256,-0.4844
21.4196,14.5661,0.0000,-0.0006,-3.5981,-0.6182
21.4196,14.5661,0.0000,-0.0006,-3.2639,-0.7340
21.4196,14.5661,0.0000,-0.0006,-2.9254,-0.8367
21.4196,14.5662,0.0000,-0.0006,-2.5835,-0.9269
21.4197,14.5662,0.0000,-0.0006,-2.2367,-0.9969
21.4197,14.5662,0.0000,-0.0006,-1.8887,-1.0605
21.4197,14.5662,0.0000,-0.0006,-1.5369,-1.0967
21.4197,14.5663,0.0000,-0.0006,-1.1846,-1.1290
21.4197,14.5663,0.0000,-0.0006,-0.8311,-1.1397
21.4197,14.5663,0.0000,-0.0006,-0.4774,-1.1417
21.4198,14.5664,0.0000,-0.0006,-0.1236,-1.1436
21.4198,14.5664,0.0000,-0.0006,0.2301,-1.1456
21.4198,14.5664,0.0000,-0.0006,0.5839,-1.1476
21.4198,14.5664,0.0000,-0.0006,0.9376,-1.1492
21.4198,14.5665,0.0000,-0.0006,1.2913,-1.1505
21.4198,14.5665,0.0000,-0.0006,1.6451,-1.1519
21.4198,14.5665,0.0000,-0.0006,1.9988,-1.1533
21.4199,14.5665,0.0000,-0.0006,2.3526,-1.1547
21.4199,14.5666,0.0000,-0.0006,2.7063,-1.1557
21.4199,14.5666,0.0000,-0.0006,3.0601,-1.1566
21.4199,14.5666,0.0000,-0.0006,3.4138,-1.1575
21.4199,14.5667,0.0000,-0.0006,3.7676,-1.1583
21.4199,14.5667,0.0000,-0.0006,4.1213,-1.1592
21.4200,14.5667,0.0000,-0.0007,4.4750,-1.1598
21.4200,14.5667,0.0000,-0.0007,4.8288,-1.1602
21.4200,14.5668,0.0000,-0.0007,5.1825,-1.1607
21.4200,14.5668,0.0000,-0.0007,5.5363,-1.1611
21.4200,14.5668,0.0000,-0.0007,5.8900,-1.1616
21.4200,14.5669,0.0000,-0.0007,6.2438,-1.1618
21.4201,14.5669,0.0000,-0.0007,6.5975,-1.1619
21.4201,14.5669,0.0000,-0.0007,6.9513,-1.1620
21.4201,14.5669,0.0000,-0.0007,7.3050,-1.1621
21.4201,14.5670,0.0000,-0.0007,7.6588,-1.1622
21.4201,14.5670,0.0000,-0.0007,8.0125,-1.1622
21.4201,14.5670,0.0000,-0.0007,8.3663,-1.1621
21.4201,14.5671,0.0000,-0.0007,8.7200,-1.1620
21.4202,14.5671,0.0000,-0.0007,9.0737,-1.1618
21.4202,14.5671,0.0000,-0.0007,9.4275,-1.1617
21.4202,14.5672,0.0000,-0.0007,9.7812,-1.1614
