X,Y,Vx,VY,Xref,Yref
-6.0392,0.7884,0.0000,0.0000,-8.0705,4.3898
-6.0391,0.7884,0.0019,0.0016,-8.0111,4.0411
-6.0391,0.7884,0.0019,0.0016,-7.9436,3.6938
-6.0389,0.7884,0.0019,0.0016,-7.8434,3.3549
-6.0388,0.7884,0.0019,0.0016,-7.7228,3.0224
-6.0387,0.7884,0.0019,0.0016,-7.5825,2.6978
-6.0387,0.7884,0.0019,0.0016,-7.4143,2.3866
-6.0386,0.7884,0.0019,0.0016,-7.2344,2.0821
-6.0384,0.7884,0.0019,0.0016,-7.0253,1.7968
-6.0383,0.7884,0.0019,0.0016,-6.8084,1.5174
-6.0383,0.7884,0.0019,0.0016,-6.5651,1.2606
-6.0382,0.7884,0.0019,0.0016,-6.3110,1.0145
-6.0381,0.7884,0.0019,0.0016,-6.0392,0.7884
-6.0380,0.7884,0.0019,0.0016,-5.7610,0.5699
-6.0378,0.7884,0.0019,0.0016,-5.4752,0.3617
-6.0377,0.7884,0.0019,0.0016,-5.1780,0.1698
-6.0377,0.7884,0.0019,0.0016,-4.8775,-0.0169
-6.0376,0.7884,0.0019,0.0016,-4.5648,-0.1821
-6.0375,0.7884,0.0019,0.0016,-4.2501,-0.3438
-6.0374,0.7884,0.0019,0.0016,-3.9256,-0.4844
-6.0373,0.7884,0.0019,0.0016,-3.5981,-0.6182
-6.0372,0.7884,0.0019,0.0016,-3.2639,-0.7340
-6.0371,0.7884,0.0019,0.0016,-2.9254,-0.8367
-6.0370,0.7884,0.0019,0.0016,-2.5835,-0.9269
-6.0369,0.7884,0.0019,0.0016,-2.2367,-0.9969
-6.0368,0.7884,0.0019,0.0016,-1.8887,-1.0605
-6.0367,0.7884,0.0019,0.0016,-1.5369,-1.0967
-6.0367,0.7884,0.0019,0.0016,-1.1846,-1.1290
-6.0366,0.7884,0.0019,0.0016,-0.8311,-1.1397
-6.0365,0.7884,0.0019,0.0016,-0.4774,-1.1417
-6.0363,0.7884,0.0019,0.0016,-0.1236,-1.1436
-6.0362,0.7885,0.0019,0.0016,0.2301,-1.1456
-6.0361,0.7885,0.0019,0.0016,0.5839,-1.1476
-6.0361,0.7885,0.0019,0.0016,0.9376,-1.1492
-6.0360,0.7885,0.0019,0.0016,1.2913,-1.1505
-6.0358,0.7885,0.0019,0.0016,1.6451,-1.1519
-6.0357,0.7885,0.0019,0.0016,1.9988,-1.1533
-6.0357,0.7885,0.0019,0.0016,2.3526,-1.1547
-6.0356,0.7885,0.0019,0.0016,2.7063,-1.1557
-6.0355,0.7885,0.0019,0.0016,3.0601,-1.1566
-6.0353,0.7885,0.0019,0.0016,3.4138,-1.1575
-6.0353,0.7885,0.0019,0.0016,3.7676,-1.1583
-6.0352,0.7885,0.0019,0.0016,4.1213,-1.1592
-6.0351,0.7885,0.0019,0.0016,4.4750,-1.1598
-6.0350,0.7885,0.0019,0.0016,4.8288,-1.1602
-6.0349,0.7885,0.0019,0.0016,5.1825,-1.1607
-6.0348,0.7885,0.0019,0.0016,5.5363,-1.1611
-6.0347,0.7885,0.0019,0.0016,5.8900,-1.1616
-6.0346,0.7885,0.0019,0.0016,6.2438,-1.1618
-6.0345,0.7885,0.0019,0.0016,6.5975,-1.1619
-6.0344,0.7885,0.0019,0.0016,6.9513,-1.1620
-6.0343,0.7885,0.0019,0.0016,7.3050,-1.1621
-6.0342,0.7885,0.0019,0.0016,7.6588,-1.1622
-6.0341,0.7885,0.0019,0.0016,8.0125,-1.1622
-6.0340,0.7885,0.0019,0.0016,8.3663,-1.1621
-6.0339,0.7885,0.0019,0.0016,8.7200,-1.1620
-6.0338,0.7885,0.0019,0.0016,9.0737,-1.1618
-6.0337,0.7885,0.0019,0.0016,9.4275,-1.1617
-6.0336,0.7885,0.0019,0.0016,9.7812,-1.1614
-6.0335,0.7885,0.0019,0.0016,10.1350,-1.1612
-6.0334,0.7885,0.0019,0.0016,10.4887,-1.1609
-6.0332,0.7886,0.0019,0.0016,10.8425,-1.1606
-6.0331,0.7886,0.0019,0.0016,11.1962,-1.1603
-6.0330,0.7886,0.0019,0.0016,11.5500,-1.1600
-6.0330,0.7886,0.0019,0.0016,11.9037,-1.1597
-6.0329,0.7886,0.0019,0.0016,12.2575,-1.1593
-6.0327,0.7886,0.0019,0.0016,12.6112,-1.1590
-6.0326,0.7886,0.0019,0.0016,12.9650,-1.1586
-6.0325,0.7886,0.0019,0.0016,13.3187,-1.1583
-6.0324,0.7886,0.0019,0.0016,13.6724,-1.1580
-6.0322,0.7886,0.0019,0.0016,14.0262,-1.1577
-6.0322,0.7886,0.0019,0.0016,14.3799,-1.1574
-6.0321,0.7886,0.0019,0.0016,14.7337,-1.1570
-6.0320,0.7886,0.0019,0.0016,15.0874,-1.1568
-6.0319,0.7886,0.0019,0.0016,15.4412,-1.1566
-6.0317,0.7886,0.0019,0.0016,15.7949,-1.1564
-6.0316,0.7886,0.0019,0.0016,16.1487,-1.1562
-6.0315,0.7886,0.0019,0.0016,16.5024,-1.1560
-6.0314,0.7886,0.0019,0.0016,16.8562,-1.1559
-6.0312,0.7886,0.0019,0.0016,17.2099,-1.1559
-6.0311,0.7886,0.0019,0.0016,17.5637,-1.1559
-6.0310,0.7886,0.0019,0.0016,17.9174,-1.1559
-6.0309,0.7887,0.0019,0.0016,18.2712,-1.1559
-6.0307,0.7887,0.0019,0.0016,18.6249,-1.1561
-6.0306,0.7887,0.0019,0.0016,18.9786,-1.1565
-6.0305,0.7887,0.0019,0.0016,19.3324,-1.1568
-6.0304,0.7887,0.0019,0.0016,19.6861,-1.1571
-6.0303,0.7887,0.0019,0.0016,20.0399,-1.1573
-6.0302,0.7887,0.0019,0.0016,20.3936,-1.1619
-6.0301,0.7887,0.0019,0.0016,20.7473,-1.1699
-6.0300,0.7887,0.0019,0.0016,21.1006,-1.1561
-6.0299,0.7887,0.0019,0.0016,21.4540,-1.1382
-6.0299,0.7887,0.0019,0.0016,21.8051,-1.0952
-6.0298,0.7887,0.0019,0.0016,22.1558,-1.0494
-6.0296,0.7887,0.0019,0.0016,22.5028,-0.9807
-6.0295,0.7887,0.0019,0.0016,22.8484,-0.9058
-6.0294,0.7887,0.0019,0.0016,23.1899,-0.8135
-6.0293,0.7887,0.0019,0.0016,23.5279,-0.7094
-6.0292,0.7887,0.0019,0.0016,23.8622,-0.5937
-6.0291,0.7887,0.0019,0.0016,24.1898,-0.4606
-6.0290,0.7887,0.0019,0.0016,24.5117,-0.3139
-6.0289,0.7888,0.0019,0.0016,24.8186,-0.1381
-6.0288,0.7888,0.0019,0.0016,25.1178,0.0505
-6.0287,0.7888,0.0019,0.0016,25.3997,0.2642
-6.0286,0.7888,0.0019,0.0016,25.6707,0.4914
-6.0285,0.7888,0.0019,0.0016,25.9231,0.7394
-6.0284,0.7888,0.0019,0.0016,26.1613,1.0007
-6.0283,0.7888,0.0019,0.0016,26.3810,1.2780
-6.0281,0.7888,0.0019,0.0016,26.5806,1.5698
-6.0280,0.7888,0.0019,0.0016,26.7628,1.8730
-6.0279,0.7888,0.0019,0.0016,26.9295,2.1850
-6.0278,0.7888,0.0019,0.0016,27.0752,2.5073
-6.0276,0.7888,0.0019,0.0016,27.2019,2.8376
-6.0275,0.7888,0.0019,0.0016,27.3135,3.1733
-6.0274,0.7888,0.0019,0.0016,27.4109,3.5133
-6.0273,0.7888,0.0019,0.0016,27.4949,3.8568
-6.0271,0.7888,0.0019,0.0016,27.5666,4.2032
-6.0270,0.7889,0.0019,0.0016,27.6243,4.5522
-6.0269,0.7889,0.0019,0.0016,27.6673,4.9033
-6.0268,0.7889,0.0019,0.0016,27.6962,5.2559
-6.0266,0.7889,0.0019,0.0016,27.7106,5.6093
-6.0265,0.7889,0.0019,0.0016,27.7114,5.9630
-6.0264,0.7889,0.0019,0.0016,27.6956,6.3164
-6.0263,0.7889,0.0019,0.0016,27.6624,6.6686
-6.0262,0.7889,0.0019,0.0016,27.6129,7.0188
